SA4_NAME21,life_expectancy
Central Coast,82.1
Sydney - Baulkham Hills and Hawkesbury,86.6
Sydney - Blacktown,82.7
Sydney - City and Inner South,82.7
Sydney - Eastern Suburbs,84.9
Sydney - Inner South West,84.2
Sydney - Inner West,84.8
Sydney - North Sydney and Hornsby,86.7
Sydney - Northern Beaches,85.7
Sydney - Outer South West,82.1
Sydney - Outer West and Blue Mountains,82.4
Sydney - Parramatta,83.7
Sydney - Ryde,86.0
Sydney - South West,83.5
Sydney - Sutherland,85.3
Capital Region,82.2
Central West,80.8
Coffs Harbour - Grafton,80.8
Far West and Orana,78.3
Hunter Valley exc Newcastle,82.2
Illawarra,82.5
Mid North Coast,81.1
Murray,80.9
New England and North West,80.8
Newcastle and Lake Macquarie,81.9
Richmond - Tweed,81.8
Riverina,81.8
Southern Highlands and Shoalhaven,82.5
Rest of NSW,81.6
Melbourne - Inner,84.1
Melbourne - Inner East,86.2
Melbourne - Inner South,85.0
Melbourne - North East,84.0
Melbourne - North West,83.6
Melbourne - Outer East,83.9
Melbourne - South East,84.0
Melbourne - West,83.3
Mornington Peninsula,82.4
Ballarat,81.5
Bendigo,82.1
Geelong,82.6
Hume,82.1
Latrobe - Gippsland,80.6
North West,80.4
Shepparton,80.8
Warrnambool and South West,81.8
Rest of Vic.,81.5
Brisbane - East,83.8
Brisbane - North,83.1
Brisbane - South,84.2
Brisbane - West,85.7
Brisbane Inner City,84.2
Ipswich,81.4
Logan - Beaudesert,81.1
Moreton Bay - North,81.5
Moreton Bay - South,84.2
Cairns,81.1
Darling Downs - Maranoa,80.7
Central Queensland,81.3
Gold Coast,83.7
Mackay - Isaac - Whitsunday,82.1
Queensland - Outback,79.3
Sunshine Coast,83.9
Toowoomba,82.8
Townsville,81.4
Wide Bay,80.6
Rest of Qld,82.3
Adelaide - Central and Hills,84.8
Adelaide - North,82.1
Adelaide - South,83.5
Adelaide - West,82.7
Barossa - Yorke - Mid North,82.3
South Australia - Outback,80.3
South Australia - South East,82.8
Rest of SA,82.1
Mandurah,82.8
Perth - Inner,85.0
Perth - North East,83.8
Perth - North West,84.8
Perth - South East,83.9
Perth - South West,84.1
Bunbury,83.4
Western Australia - Wheat Belt,81.1
Western Australia - Outback (North),78.6
Western Australia - Outback (South),80.2
Rest of WA,81.4
Hobart,82.4
Launceston and North East,82.6
South East,81.8
West and North West,80.8
Rest of Tas.,81.9
Darwin,82.2
Northern Territory - Outback,73.6
Rest of NT,73.6
Australian Capital Territory,83.6
Australia,83.0
